종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
271060,5,KODEX 3대농산물선물(H),11755,3,0,0.0,11732.0,3.2952,13326,156,155,원자재,KODEX,False,False,True
196030,4,ACE 일본TOPIX레버리지(H),30830,5,-205,-0.66,30887.0,28.2968,19719,600,154,해외 주식,ACE,False,True,True
448630,7,KBSTAR 삼성그룹Top3채권혼합블룸버그,10170,5,-40,-0.39,10166.0,1.8453,1110,11,153,기타,KBSTAR,False,False,False
337150,2,KODEX 200exTOP,11680,5,-105,-0.89,11695.0,7.7239,2,0,152,국내 업종/테마,KODEX,False,False,False
102960,2,KODEX 기계장비,8380,2,75,0.9,8371.0,24.3263,7744,64,151,국내 업종/테마,KODEX,False,False,False
289480,3,TIGER 200커버드콜ATM,8765,5,-10,-0.11,8778.0,4.5265,3128,27,149,국내 파생,TIGER,False,False,False
365040,1,TIGER AI코리아그로스액티브,12355,5,-25,-0.2,12339.0,5.5413,1956,24,148,국내 시장지수,TIGER,False,False,False
182490,6,TIGER 단기선진하이일드(합성 H),12300,5,-120,-0.97,12377.0,1.7615,565,6,148,채권,TIGER,False,False,True
140710,2,KODEX 운송,4460,5,-45,-1.0,4464.0,-0.9891,1427,6,147,국내 업종/테마,KODEX,False,False,False
306950,3,KODEX KRX300레버리지,14540,5,-285,-1.92,14699.0,17.8926,1292,18,145,국내 파생,KODEX,False,True,False
285690,2,FOCUS ESG리더스,10375,2,10,0.1,10411.0,5.6574,610,6,145,국내 업종/테마,FOCUS,False,False,False
211560,2,TIGER 배당성장,16610,2,30,0.18,16624.0,4.3423,21,0,145,국내 업종/테마,TIGER,False,False,False
183700,7,KBSTAR 채권혼합,59660,5,-255,-0.43,59711.0,2.1638,87,5,143,기타,KBSTAR,False,False,False
167860,6,KOSEF 국고채10년레버리지,102225,5,-1170,-1.13,102271.0,-4.9198,105,10,143,채권,KOSEF,False,True,False
411050,4,ACE 글로벌메타버스테크액티브,8900,5,-40,-0.45,9113.0,20.8108,12924,115,142,해외 주식,ACE,False,False,False
