종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,종목코드,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,투자의견,목표주가,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
팜스빌 *,8970.0,80.0,-0.88%,8910.0,8960.0,1690.0,15.0,13806.0,23-08-21,,,,,,,,38979220,38979220,1145098,2.94%,88.07,-0.14%,353190,코스닥,450,1372,1565,947,618,1.6525871172122493,7405.0,5.731629392971246,,,,82.5,14,1.26,914.0,
제일파마홀딩스,11180.0,100.0,-0.89%,11180.0,11190.0,8755.0,98.0,5483.0,23-08-21,,,,,,,,253668855,253668855,38925213,15.34%,88.07,-0.08%,007460,코스피,6215,295,4450,1013,3437,4.3928923988154,6730.0,2.512359550561798,,,,,-611,3.24,756.0,
옵티팜 *,7120.0,70.0,-0.97%,7110.0,7120.0,18400.0,131.0,83935.0,23-08-21,,,,,,,,9603921,9603921,375101,3.91%,88.07,-0.14%,044820,코스닥,961,876,10890,7150,3740,1.523076923076923,-3770.0,0.6538108356290174,,,,,-1121,0.31,32139.0,
아미노로직스 *,1488.0,16.0,-1.06%,1500.0,1501.0,140103.0,209.0,103877.0,23-08-21,,,,,,,,5485962,5485962,83072,1.51%,88.07,-0.08%,063160,코스닥,1237,791,31200,20100,11100,1.5522388059701493,-29712.0,0.047692307692307694,,,,,-3688,0.9,25172.0,
JW중외제약,44900.0,500.0,-1.10%,44800.0,44850.0,446302.0,20080.0,1687991.0,23-08-21,556.0,50.0,,8.99,,,,18600070,18600070,2003093,10.77%,88.07,-0.14%,016580,코스피,2732,511,18150,12410,5740,1.4625302175664787,26750.0,2.4738292011019283,4.0,21000.0,매수,10.55,1392,0.65,22568.0,2.04
JW중외제약우,35000.0,400.0,-1.13%,34650.0,34950.0,210.0,7.0,1156.0,23-08-21,,,,,,,,10688325,10688325,95549,0.89%,88.07,-0.14%,397030,코스피,2383,358,30000,10400,19600,2.8846153846153846,5000.0,1.1666666666666667,4.0,44000.0,매수,,-915,3.53,6311.0,
한독,13140.0,150.0,-1.13%,13140.0,13150.0,9855.0,130.0,12876.0,23-08-21,,,,,,,,39609168,39609168,2495318,6.30%,88.07,-0.14%,068760,코스피,28400,10,101200,56200,45000,1.800711743772242,-88060.0,0.12984189723320158,,,,100.0,717,7.87,9115.0,
경남제약 *,1487.0,17.0,-1.13%,1485.0,1487.0,69281.0,103.0,79999.0,23-08-21,,,,,,,,8666361,8666361,192382,2.22%,88.07,-0.08%,314140,코스닥,844,964,20700,8700,12000,2.3793103448275863,-19213.0,0.07183574879227053,,,,16.26,599,0.86,11381.0,
테라젠이텍스 *,4600.0,55.0,-1.18%,4560.0,4565.0,527342.0,2409.0,5166227.0,23-08-21,,,,,,,,16244822,16244822,1038109,6.39%,88.07,-0.14%,033270,코스닥,4443,367,30600,20000,10600,1.53,-26000.0,0.1503267973856209,,,,9.2,2972,1.16,23567.0,1.46
한올바이오파마,23000.0,300.0,-1.29%,23050.0,23100.0,172640.0,3978.0,643084.0,23-08-21,,,,,,,,197716999,197716999,10855452,5.49%,88.07,-0.08%,900120,코스피,271,1554,314,118,196,2.6610169491525424,22686.0,73.2484076433121,,,,15.22,9,0.05,2518.0,
